Radek,Ident,Popis,Pocet,Zbytek
50,R900029707,UNION NUT          24N/30S-ST3Z00Z,1,
49,R900029708,UNION NUT          24N/25S-ST3Z00Z,23,
48,R900022320,UNION NUT          24N/20S-ST3Z00Z,4,
47,R900029705,UNION NUT          24N-12S-ST3Z00Z,10,
46,R900764645,UNION              24T-Z-S-25S-ST3Z00Z,2,
45,R900763447,UNION              24S-Z-S-25S-ST3Z00Z,5,
44,R900763363,UNION              24S-Z-S-12S-ST3Z00Z,1,
43,R900765441,REDUCTION THREADED 24RDSW-Z-S-25S-20S-ST3F00Z,1,
42,,REDUCTION THREADED 24RDSW-Z-S-25S-20S-S&,1,
41,R900765439,REDUCTION THREADED 24RDSW-Z-S-25S-12S-ST3F00Z,1,
40,,REDUCTION THREADED 24RDSW-Z-S-25S-12S-S&,1,
39,R901310672,REDUCTION THREADED 24-S-S30-S25/0712912000,1,
38,R900763044,MALE CONNECTOR     24SDS-E-S-25S-M33X2-ST3F00Z,2,
37,,MALE CONNECTOR     24SDS-E-S-25S-M33X2-ST3F00Z,2,
36,R900767715,MALE CONNECTOR     24SDS-E-S-25S-G3/4-ST3F00Z,2,
35,,MALE CONNECTOR     24SDS-E-S-25S-G3/4-ST3F00Z,2,
34,R900762691,MALE CONNECTOR     24SDS-E-S-25S-G1-ST3F00Z,1,
33,,MALE CONNECTOR     24SDS-E-S-25S-G1-ST3F00Z,1,
32,R900763043,MALE CONNECTOR     24SDS-E-S-20S-M27X2-ST3F00Z,1,
31,,MALE CONNECTOR     24SDS-E-S-20S-M27X2-ST3F00Z,1,
30,R900763041,""MALE CONNECTOR     24SDS-E-S-12S-M18X1 5-ST3F00Z"",1,
29,,""MALE CONNECTOR     24SDS-E-S-12S-M18X1 5-ST3F00Z"",1,
28,R900762682,MALE CONNECTOR     24SDS-E-S-12S-G3/8-ST3F00Z,4,
27,,MALE CONNECTOR     24SDS-E-S-12S-G3/8-ST3F00Z,4,
26,R901331136,MALE CONNECTOR     24SDS-E-S-12S-G1/4-ST3F00Z,1,
25,,MALE CONNECTOR     24SDS-E-S-12S-G1/4-ST3F00Z,1,
24,R900766418,ADJUSTABLE CONNECT 24SWORT-Z-S-25S-ST3F00Z,1,
23,,ADJUSTABLE CONNECT 24SWORT-Z-S-25S-ST3F00Z,1,
22,R900766219,ADJUSTABLE CONNECT 24SWOE-Z-S-25S-ST3F00Z,1,
21,,ADJUSTABLE CONNECT 24SWOE-Z-S-25S-ST3F0&,1,
20,R900766218,ADJUSTABLE CONNECT 24SWOE-Z-S-20S-ST3F00Z,1,
19,,ADJUSTABLE CONNECT 24SWOE-Z-S-20S-ST3F0&,1,
18,R900766216,ADJUSTABLE CONNECT 24SWOE-Z-S-12S-ST3F00Z,2,
17,,ADJUSTABLE CONNECT 24SWOE-Z-S-12S-ST3F0&,2,

